Job Title,Job Description,Requirements
Assistant Operations Executive (Depot Management),"Monitor customer inventory and email correspondence.
Monitor incoming gate return and transshipment volumes, ensuring effective yard space management.
Handle equipment breakdowns, coordinating replacements with the control center.
Send daily resource emails based on operational requirements.
Manage RTG block activities and coordinate cross-gantry operations to address exceptions.
Track IYS productivity, monitor PM waiting times, and allow the operations team to utilize PMs when no shifts are scheduled.
Respond to exceptions, such as reefer malfunctions and container exchanges.
Monitor gate return queues and make diversion decisions during bad weather or heavy traffic.","Diploma in Logistics / Supply Chain Management. Other disciplines with experience in logistics operations management preferable in 3rd party logistics, distribution or manufacturing environment will also be considered
Proficiency in MS Office
Ability to work independently 
Good communication skills
Non-shift"
AI Analyst (Simulation),"Be a part of the team that develops, analyzes, evaluates, and recommends operational strategies for PSA and contribute towards building the largest fully automated container terminal in the world. You will help to conceptualize innovative ideas that can improve container terminal processes and elevate the productivity of operations in PSA. Leveraging on discrete event simulation and emulation technology, you will evaluate, in the virtual environment, these ideas and recommend the best options to management for implementation. You can also look forward to a unique opportunity to work with state-of-the-art equipment and be called upon to build AI-driven solutions that automate and optimize the operation of these equipment.","A good degree in Computer Science, Industrial & Systems Engineering, Operations Research, or a related field.
A graduate degree and relevant simulation or optimization project experience is an advantage.
Strong programming skills in languages such as C++, Python, etc.
Proficiency in discrete event simulation software packages, and/or optimization software packages is a plus.
Good problem-solving skills and the ability to work independently and as part of a team.
Ability to explain complex concepts to the layman with good  communication and presentation skills is an advantage."
Assistant Management Executive (HRS),"You will be part of the management services team to handle the HR administrative functions for supporting departments. You will handle payroll related matters and update employee records in HR systems, handle day-to-day HR transactions such as resignation, transfer, discipline and contract management. Also, you will assist with the processing of medical claims and flexible benefit claims for staff.","• NITEC/Diploma in any discipline

• Good organization and time management skills

• Able to multi-task and work as a team player

• Self-motivated and able to work with minimal supervision

• Able to communicate with individuals at all levels in the organization

• Proficient in Ms Word & Excel"
Deputy Manager (Port Ecosystem Commercial),"In this role, you will have the opportunity to:

Pursue interesting sales leads, design proposals and negotiate business deals as part of product business development.
Contribute effectively towards enhancing PSA’s revenue and volume growth.
Learn business fundamentals relating to why and how trade flows, how to use data to support business decisions, financial principles, legal aspects of securing a business deal and how to operationalize a commercial agreement.
 

Product Business Development and Customer Management:

Establish and maintain network with cargo owners, logistics service providers and government agencies
Initiate sales opportunities and pursue sales leads.
Design pricing strategies for different products, which can be Singapore-centric or with a regional focus across SEA borders
Negotiate proposals with customers
Identify opportunities for synergising physical solutions with digital initiatives.
Gather market intel on trade / market / competitor updates
Organize events for customer relationship management.
 

Operationalizing the Commercial Partnerships with Customers:

Work with different teams in PSA SEA and PSA Group to operationalize the marketed initiatives through:
Conducting process mapping with customers to identify supply chain pain points
Work with operations teams to re-design existing business processes or design new processes to resolve pain points
Work with legal team to draft legal documents and facilitate signing of contracts with customers
Work with Finance departments to implement concluded commercial terms
Act as liaison between customer and internal departments for day-to-day requests from customers.","Prospect and qualify new sales leads.
Schedule meetings and presentations with prospects
Create, plan, and deliver presentations on company products.
Track all sales activities and keep current by updating account information regularly.
Communicate customer and prospect product pain points to appropriate departments.
Maintain a well-developed pipeline of prospects.
Develop strong, ongoing relationships with prospects and customers.
Meet and/or exceed quotas.
Coordinate with other team members and departments to optimize the sales effort."
Electrical Engineer (Power Infrastructure),"You will lead a team of technical staff in the management and maintenance of high voltage electrical distribution system in buildings and container terminals.  You will be involved in electrical infrastructure projects to support electrification of port equipment, with the objective of enhancing environmental sustainability of PSA ports. You will also lead the team to conduct testing and commissioning of new 22kV substations for Tuas port development projects.  ","Degree in Electrical Engineering
At least 2 years’ experience in electrical infrastructure maintenance or design consultancy projects
Holders of Professional Engineering certification, Licensed Electrical Worker (LEW) license or high voltage switching authorization will have an advantage"
Manager / Deputy Manager (Cybersecurity Incident Management),"You will be part of a team responsible for leading and managing the response to cybersecurity incidents, ensuring that threats are quickly identified, analyzed, and mitigated. This role requires a combination of technical expertise, strong communication skills and the ability to lead a team in high-pressure situations. The incident Manager will work closely with various teams to protect the organization’s assets and maintain a robust security posture.

Key responsibilities include:

Incident Response Management:
Lead and coordinate the response to cybersecurity incidents from identification through resolution.
Ensure timely detection, containment, eradication, and recovery from security incidents
Incident Analysis and Investigation:
Perform thorough analysis and investigation of security incidents to determine root cause, impact, and scope.
Utilize various forensic tools and methodologies to collect and analyze evidence.
Coordination and Communication:
Serve as the primary point of contact for cybersecurity incidents, coordinating with internal teams, external partners, and stakeholders.
Communicate incident status, impact, and remediation efforts to executive leadership and relevant parties.
Documentation and Reporting:
Maintain detailed documentation of incidents, including timelines, actions taken, and lessons learned.
Produce comprehensive incident reports and metrics for internal and external reporting.
Process Improvement:
Develop, refine, and implement incident response processes and playbooks.
Conduct post-incident reviews and lessons learned sessions to identify areas for improvement.
Training:
Conduct drills and TTX to train incident response team members to response to cyber incident.
Threat Intelligence Integration:
Leverage threat intelligence to proactively identify potential threats and vulnerabilities.
Integrate threat intelligence into incident response processes.
Compliance and Standards:
Ensure incident response activities comply with relevant regulations, standards, and industry best practices.","Degree in Computer Engineering, Computer Science, Cybersecurity, Information Security, Electrical & Electronics Engineering; or equivalent
At least 5 years of cybersecurity incident response experience in IT environments and 2 years in OT/ICS environments
Strong knowledge of cybersecurity principles, threats, and attack vectors
Proficiency in forensic analysis, malware analysis, and incident response tools
Experience with SIEM, IDS/IPS, and other security technologies
Those with GCIH, GICSP, GRID, CISSP, CISM certification would have an advantage
Strong leadership, communication, interpersonal, analytical and problem-solving skills in a fast-moving environment"
Accounts Executive (Billing),"• Verify billing requests, supporting documents and issue invoices in accordance with internal policies
• Liaise with Finance internal users regarding billing set up
• Prepare periodic report to customers
• Manage customer's queries and liaising with Operations to close enquiry cases
• Prepare all information request for internal and external audit
• To assume other billing duties which may be assigned","• Diploma in Accountancy or equivalent
• Minimum 1 year of relevant working experience
• Meticulous with strong analytical skills
• Possess good interpersonal and organizational skills"
Data Engineer,"You will work in the Data Engineering team in Regional Infocomm Technology SEA Division to:-

• Design, Develop, Test, Deploy and Maintain data pipelines (ETL) on the Enterprise Data Warehouse and Big Data Platform
• Design and Develop the API /Web Services framework for curation of new datasets whether internal or external (Internet), and to     interface with other systems (both internal and external)
• Explore and source new data sets to address emerging business use case needs
• Maintain the data quality and keep improving the data efficiency","• Possess a good Bachelor’s degree in Computer Science or Computer Engineering; a Specialization in Software Engineering will be   advantageous.
• Those with 2-3 years of related work experience will be preferred.
• Good grasp of Software Engineering principles such as Requirements Gathering (both functional and non-functional), Modular & Re-   usable Design.
• Proficient in ETL using programming language /tools such as Python and/or SSIS and/or Informatica Power Centre
• Able to develop data applications including integration with ICT systems, build APIs and web applications via .Java and/or Python
• Familiarity with MS SQL, PostgreSQL or Oracle is preferred.
• There will an added advantage for any of the following:-
   o Proficient in Data Modelling and Data Mining.
   o Experience in designing and building scalable database schema for applications.
   o Understanding of Object-Oriented Design.
   o Knowledge of or prior work experience on Big Data platforms such as Hadoop or using Spark.
   o Experience in the cloud environment setup using Microsoft Azure"
Assistant Management Executive (HRS),"You will be part of the management services team to handle the HR administrative functions for supporting departments. You will handle payroll related matters and update employee records in HR systems, handle day-to-day HR transactions such as resignation, transfer, discipline and contract management. Also, you will assist with the processing of medical claims and flexible benefit claims for staff.","• NITEC/Diploma in any discipline

• Good organization and time management skills

• Able to multi-task and work as a team player

• Self-motivated and able to work with minimal supervision

• Able to communicate with individuals at all levels in the organization

• Proficient in Ms Word & Excel"
Container Equipment Specialist (Yard Crane),"You will operate 7-storey high cranes in the container yards, loading and unloading containers onto and from container trucks. Your accuracy and efficiency is crucial to smooth operations and contribute towards the port's performance. 

You will undergo a training programme in yard crane operations, and will be awarded an ITE Skills Certificate upon successful completion.","• Able to work at heights 
• Work on rotating shift "
